Num1,operator,Num2,equal to,frequency,error times,correct times,right
13,-,11,2,0,0,0,1
13,-,10,3,0,0,0,1
13,-,9,4,0,0,0,1
13,-,8,5,0,0,0,1
13,-,7,6,0,0,0,1
13,-,6,7,0,0,0,1
13,-,5,8,0,0,0,1
13,-,4,9,0,0,0,1
13,-,3,10,0,0,0,1
13,-,2,11,0,0,0,1
13,-,1,12,0,0,0,1
13,-,0,13,0,0,0,1
14,-,13,1,0,0,0,1
14,-,12,2,0,0,0,1
14,-,11,3,0,0,0,1
14,-,10,4,0,0,0,1
14,-,9,5,0,0,0,1
14,-,8,6,0,0,0,1
14,-,7,7,0,0,0,1
14,-,6,8,0,0,0,1
14,-,5,9,0,0,0,1
14,-,4,10,0,0,0,1
14,-,3,11,0,0,0,1
14,-,2,12,0,0,0,1
14,-,1,13,0,0,0,1
14,-,0,14,0,0,0,1
15,-,14,1,0,0,0,1
15,-,13,2,0,0,0,1
15,-,12,3,0,0,0,1
15,-,11,4,0,0,0,1
15,-,10,5,0,0,0,1
15,-,9,6,0,0,0,1
15,-,8,7,0,0,0,1
15,-,7,8,0,0,0,1
15,-,6,9,0,0,0,1
15,-,5,10,0,0,0,1
15,-,4,11,0,0,0,1
15,-,3,12,0,0,0,1
15,-,2,13,0,0,0,1
15,-,1,14,0,0,0,1
15,-,0,15,0,0,0,1
16,-,15,1,0,0,0,1
16,-,14,2,0,0,0,1
16,-,13,3,0,0,0,1
16,-,12,4,0,0,0,1
16,-,11,5,0,0,0,1
16,-,10,6,0,0,0,1
16,-,9,7,0,0,0,1
16,-,8,8,0,0,0,1
16,-,7,9,0,0,0,1
16,-,6,10,0,0,0,1
16,-,5,11,0,0,0,1
16,-,4,12,0,0,0,1
16,-,3,13,0,0,0,1
16,-,2,14,0,0,0,1
16,-,1,15,0,0,0,1
16,-,0,16,0,0,0,1
17,-,16,1,0,0,0,1
17,-,15,2,0,0,0,1
17,-,14,3,0,0,0,1
17,-,13,4,0,0,0,1
17,-,12,5,0,0,0,1
17,-,11,6,0,0,0,1
17,-,10,7,0,0,0,1
17,-,9,8,0,0,0,1
17,-,8,9,0,0,0,1
17,-,7,10,0,0,0,1
17,-,6,11,0,0,0,1
17,-,5,12,0,0,0,1
17,-,4,13,0,0,0,1
17,-,3,14,0,0,0,1
17,-,2,15,0,0,0,1
17,-,1,16,0,0,0,1
17,-,0,17,0,0,0,1
18,-,17,1,0,0,0,1
18,-,16,2,0,0,0,1
18,-,15,3,0,0,0,1
18,-,14,4,0,0,0,1
18,-,13,5,0,0,0,1
18,-,12,6,0,0,0,1
18,-,11,7,0,0,0,1
18,-,10,8,0,0,0,1
18,-,9,9,0,0,0,1
18,-,8,10,0,0,0,1
18,-,7,11,0,0,0,1
18,-,6,12,0,0,0,1
18,-,5,13,0,0,0,1
18,-,4,14,0,0,0,1
18,-,3,15,0,0,0,1
18,-,2,16,0,0,0,1
18,-,1,17,0,0,0,1
18,-,0,18,0,0,0,1
19,-,18,1,0,0,0,1
19,-,17,2,0,0,0,1
19,-,16,3,0,0,0,1
19,-,15,4,0,0,0,1
19,-,14,5,0,0,0,1
19,-,13,6,0,0,0,1
19,-,12,7,0,0,0,1
19,-,11,8,0,0,0,1
19,-,10,9,0,0,0,1
19,-,9,10,0,0,0,1
19,-,8,11,0,0,0,1
19,-,7,12,0,0,0,1
19,-,6,13,0,0,0,1
19,-,5,14,0,0,0,1
19,-,4,15,0,0,0,1
19,-,3,16,0,0,0,1
19,-,2,17,0,0,0,1
19,-,1,18,0,0,0,1
19,-,0,19,0,0,0,1
20,-,19,1,0,0,0,1
20,-,18,2,0,0,0,1
20,-,17,3,0,0,0,1
20,-,16,4,0,0,0,1
20,-,15,5,0,0,0,1
20,-,14,6,0,0,0,1
20,-,13,7,0,0,0,1
20,-,12,8,0,0,0,1
20,-,11,9,0,0,0,1
20,-,10,10,0,0,0,1
20,-,9,11,0,0,0,1
20,-,8,12,0,0,0,1
20,-,7,13,0,0,0,1
20,-,6,14,0,0,0,1
20,-,5,15,0,0,0,1
20,-,4,16,0,0,0,1
20,-,3,17,0,0,0,1
20,-,2,18,0,0,0,1
20,-,1,19,0,0,0,1
20,-,0,20,0,0,0,1
